販売名,一般名,薬効分類,相互作用
アスピリン錠100mg「タイヨー」,アセチルサリチル酸,解熱鎮痛薬,"ワルファリン,抗凝固薬"
ワルファリンカリウム錠1mg「サワイ」,ワルファリンカリウム,抗凝固薬,"アスピリン,NSAIDs"
ロキソプロフェンナトリウム錠60mg「タイヨー」,ロキソプロフェンナトリウム,解熱鎮痛薬,"ワルファリン,抗凝固薬"
アセトアミノフェン錠200mg「サワイ」,アセトアミノフェン,解熱鎮痛薬,"ワルファリン,抗凝固薬"
イブプロフェン錠200mg「タイヨー」,イブプロフェン,解熱鎮痛薬,"ワルファリン,抗凝固薬"
ジクロフェナクナトリウム錠25mg「サワイ」,ジクロフェナクナトリウム,解熱鎮痛薬,"ワルファリン,抗凝固薬"
セレコキシブ錠100mg「タイヨー」,セレコキシブ,解熱鎮痛薬,"ワルファリン,抗凝固薬"
ナプロキセンナトリウム錠275mg「サワイ」,ナプロキセンナトリウム,解熱鎮痛薬,"ワルファリン,抗凝固薬"
メフェナム酸錠250mg「タイヨー」,メフェナム酸,解熱鎮痛薬,"ワルファリン,抗凝固薬"
インドメタシン錠25mg「サワイ」,インドメタシン,解熱鎮痛薬,"ワルファリン,抗凝固薬"
ケトプロフェン錠50mg「タイヨー」,ケトプロフェン,解熱鎮痛薬,"ワルファリン,抗凝固薬"
フェニルブタゾン錠100mg「サワイ」,フェニルブタゾン,解熱鎮痛薬,"ワルファリン,抗凝固薬"
ピロキシカム錠10mg「タイヨー」,ピロキシカム,解熱鎮痛薬,"ワルファリン,抗凝固薬"
メロキシカム錠7.5mg「サワイ」,メロキシカム,解熱鎮痛薬,"ワルファリン,抗凝固薬"
エトドラク錠200mg「タイヨー」,エトドラク,解熱鎮痛薬,"ワルファリン,抗凝固薬"
ナブメトン錠500mg「サワイ」,ナブメトン,解熱鎮痛薬,"ワルファリン,抗凝固薬"
スリンダク錠150mg「タイヨー」,スリンダク,解熱鎮痛薬,"ワルファリン,抗凝固薬"
テノキシカム錠20mg「サワイ」,テノキシカム,解熱鎮痛薬,"ワルファリン,抗凝固薬"
アセメタシン錠25mg「タイヨー」,アセメタシン,解熱鎮痛薬,"ワルファリン,抗凝固薬"
オキサプロジン錠200mg「サワイ」,オキサプロジン,解熱鎮痛薬,"ワルファリン,抗凝固薬"
ジゴキシン錠0.125mg「タイヨー」,ジゴキシン,強心薬,"アミオダロン,ジゴキシン"
アミオダロン塩酸塩錠200mg「サワイ」,アミオダロン塩酸塩,抗不整脈薬,"ジゴキシン,アミオダロン"
シンバスタチン錠5mg「タイヨー」,シンバスタチン,脂質異常症治療薬,"アミオダロン,シンバスタチン"
アトルバスタチンカルシウム錠10mg「サワイ」,アトルバスタチンカルシウム,脂質異常症治療薬,"シンバスタチン,アミオダロン"
プラバスタチンナトリウム錠5mg「タイヨー」,プラバスタチンナトリウム,脂質異常症治療薬,"アミオダロン,プラバスタチン"
ロスバスタチンカルシウム錠2.5mg「サワイ」,ロスバスタチンカルシウム,脂質異常症治療薬,"アミオダロン,ロスバスタチン"
ピタバスタチンカルシウム錠1mg「タイヨー」,ピタバスタチンカルシウム,脂質異常症治療薬,"アミオダロン,ピタバスタチン"
フルバスタチンナトリウム錠20mg「サワイ」,フルバスタチンナトリウム,脂質異常症治療薬,"アミオダロン,フルバスタチン"
ニフェジピン錠10mg「タイヨー」,ニフェジピン,カルシウム拮抗薬,"ジゴキシン,ニフェジピン"
アムロジピンベシル酸塩錠2.5mg「サワイ」,アムロジピンベシル酸塩,カルシウム拮抗薬,"ジゴキシン,アムロジピン"
ベラパミル塩酸塩錠40mg「タイヨー」,ベラパミル塩酸塩,カルシウム拮抗薬,"ジゴキシン,ベラパミル"
ジルチアゼム塩酸塩錠30mg「サワイ」,ジルチアゼム塩酸塩,カルシウム拮抗薬,"ジゴキシン,ジルチアゼム"
カプトプリル錠12.5mg「タイヨー」,カプトプリル,ACE阻害薬,"リチウム,カプトプリル"
エナラプリルマレイン酸塩錠2.5mg「サワイ」,エナラプリルマレイン酸塩,ACE阻害薬,"リチウム,エナラプリル"
ロサルタンカリウム錠25mg「タイヨー」,ロサルタンカリウム,ARB,"リチウム,ロサルタン"
インスリン注射液「ノボラピッド」,インスリン,糖尿病治療薬,"インスリン,メトホルミン"
メトホルミン塩酸塩錠250mg「タイヨー」,メトホルミン塩酸塩,糖尿病治療薬,"メトホルミン,インスリン"
グリクラジド錠40mg「サワイ」,グリクラジド,糖尿病治療薬,"ワルファリン,グリクラジド"
グリメピリド錠1mg「タイヨー」,グリメピリド,糖尿病治療薬,"ワルファリン,グリメピリド"
ピオグリタゾン塩酸塩錠15mg「サワイ」,ピオグリタゾン塩酸塩,糖尿病治療薬,"ワルファリン,ピオグリタゾン"
シタグリプチンリン酸塩錠25mg「タイヨー」,シタグリプチンリン酸塩,糖尿病治療薬,"ワルファリン,シタグリプチン"
ビルダグリプチン錠50mg「サワイ」,ビルダグリプチン,糖尿病治療薬,"ワルファリン,ビルダグリプチン"
リナグリプチン錠5mg「タイヨー」,リナグリプチン,糖尿病治療薬,"ワルファリン,リナグリプチン"
アログリプチン安息香酸塩錠6.25mg「サワイ」,アログリプチン安息香酸塩,糖尿病治療薬,"ワルファリン,アログリプチン"
テネリグリプチン臭化水素酸塩錠20mg「タイヨー」,テネリグリプチン臭化水素酸塩,糖尿病治療薬,"ワルファリン,テネリグリプチン"
オメプラゾール錠20mg「サワイ」,オメプラゾール,胃酸分泌抑制薬,"オメプラゾール,鉄剤"
ランソプラゾール錠30mg「タイヨー」,ランソプラゾール,胃酸分泌抑制薬,"ランソプラゾール,鉄剤"
ファモチジン錠20mg「サワイ」,ファモチジン,胃酸分泌抑制薬,"ファモチジン,鉄剤"
ラニチジン塩酸塩錠150mg「タイヨー」,ラニチジン塩酸塩,胃酸分泌抑制薬,"ラニチジン,鉄剤"
メトクロプラミド錠10mg「サワイ」,メトクロプラミド,制吐薬,"メトクロプラミド,パーキンソン病治療薬"
ドンペリドン錠10mg「タイヨー」,ドンペリドン,制吐薬,"ドンペリドン,パーキンソン病治療薬"
プルゼニド錠1mg「サワイ」,プルゼニド,下剤,"プルゼニド,ジゴキシン"
マグラックス錠10mg「タイヨー」,マグラックス,下剤,"マグラックス,制吐薬"
ピコスルファートナトリウム内用液0.5%「サワイ」,ピコスルファートナトリウム,下剤,"ピコスルファート,下剤"
センノシド錠12mg「サワイ」,センノシド,下剤,"センノシド,下剤"
ビサコジル錠5mg「タイヨー」,ビサコジル,下剤,"ビサコジル,下剤"
ラクツロース内用液67%「サワイ」,ラクツロース,下剤,"ラクツロース,下剤"
ポリエチレングリコール4000散「タイヨー」,ポリエチレングリコール4000,下剤,"ポリエチレングリコール,下剤"
スルピリド錠50mg「サワイ」,スルピリド,消化管運動改善薬,"スルピリド,パーキンソン病治療薬"
イトプリド塩酸塩錠50mg「タイヨー」,イトプリド塩酸塩,消化管運動改善薬,"イトプリド,パーキンソン病治療薬"
エンドキサン注射用100mg「タイヨー」,エンドキサン,抗がん剤,"エンドキサン,制吐薬"
オンコビン注射用1mg「サワイ」,オンコビン,抗がん剤,"オンコビン,制吐薬"
シスプラチン注射用10mg「タイヨー」,シスプラチン,抗がん剤,"シスプラチン,制吐薬"
カルボプラチン注射用150mg「サワイ」,カルボプラチン,抗がん剤,"カルボプラチン,制吐薬"
パクリタキセル注射用30mg「タイヨー」,パクリタキセル,抗がん剤,"パクリタキセル,制吐薬"
ドセタキセル注射用20mg「サワイ」,ドセタキセル,抗がん剤,"ドセタキセル,制吐薬"
イリノテカン塩酸塩注射用40mg「タイヨー」,イリノテカン塩酸塩,抗がん剤,"イリノテカン,制吐薬"
オキサリプラチン注射用50mg「サワイ」,オキサリプラチン,抗がん剤,"オキサリプラチン,制吐薬"
ゲムシタビン塩酸塩注射用200mg「タイヨー」,ゲムシタビン塩酸塩,抗がん剤,"ゲムシタビン,制吐薬"
ビノレルビン酒石酸塩注射用10mg「サワイ」,ビノレルビン酒石酸塩,抗がん剤,"ビノレルビン,制吐薬"
メトトレキサート錠2.5mg「タイヨー」,メトトレキサート,抗リウマチ薬,"メトトレキサート,葉酸"
プレドニゾロン錠5mg「サワイ」,プレドニゾロン,副腎皮質ホルモン,"プレドニゾロン,インスリン"
シクロスポリン錠25mg「タイヨー」,シクロスポリン,免疫抑制薬,"シクロスポリン,スタチン"
タクロリムス錠1mg「サワイ」,タクロリムス,免疫抑制薬,"タクロリムス,スタチン"
アザチオプリン錠25mg「タイヨー」,アザチオプリン,免疫抑制薬,"アザチオプリン,アロプリノール"
ミコフェノール酸モフェチル錠250mg「サワイ」,ミコフェノール酸モフェチル,免疫抑制薬,"ミコフェノール酸,制酸剤"
レフルノミド錠10mg「タイヨー」,レフルノミド,抗リウマチ薬,"レフルノミド,メトトレキサート"
